code_module,type,code_presentation,module_presentation_length
AAA,Social Science,2013J,268
AAA,Social Science,2014J,269
BBB,Social Science,2013J,268
BBB,Social Science,2014J,262
BBB,Social Science,2013B,240
BBB,Social Science,2014B,234
CCC,STEM,2014J,269
CCC,STEM,2014B,241
DDD,STEM,2013J,261
DDD,STEM,2014J,262
DDD,STEM,2013B,240
DDD,STEM,2014B,241
EEE,STEM,2013J,268
EEE,STEM,2014J,269
EEE,STEM,2014B,241
FFF,STEM,2013J,268
FFF,STEM,2014J,269
FFF,STEM,2013B,240
FFF,STEM,2014B,241
GGG,Social Science,2013J,261
GGG,Social Science,2014J,269
GGG,Social Science,2014B,241
